Hexanchus griseus
Siccobaccatus estevesii
Frailea gracillima
Pilosocereus flavipulvinatus
Parodia haselbergii
Pilosocereus ulei
Cereus jamacaru
Rhipsalis puniceodiscus
Frailea phaeodisca
Frailea buenekeri
Frailea curvispina
Melocactus concinnus
Parodia buiningii
Cereus pierre-braunianus
Pilosocereus chrysostele
Tacinga subcylindrica
Ctenogobius thoropsis
Sciades parkeri
Hyporhamphus roberti
Haemulon striatum
Cosmocampus elucens
Strongylura marina
Euryoryzomys lamia
Pseudosuccinea columella
Cyperus rotundus
Bulbostylis hispidula
Pagrus pagrus
Battus belus
Danaus plexippus
Euryades corethrus
Libytheana carinenta
Danaus gilippus
Parides lysander
Parides proneus
Battus crassus
Dactylobatus clarkii
Pseudobatos percellens
Carcharhinus acronotus
Myliobatis goodei
Etmopterus pusillus
Etmopterus lucifer
Mustelus norrisi
Carcharhinus isodon
Carcharhinus altimus
Myliobatis freminvillei
Dipturus teevani
Cruriraja rugosa
Alopias superciliosus
Plesiotrygon iwamae
Pteroplatytrygon violacea
Mobula hypostoma
Pseudobatos lentiginosus
Parides klagesi
Parides pizarro
Octopus vulgaris
Spirula spirula
Vosseledone charrua
Pickfordiateuthis pulchella
Vitreledonella richardi
Doryteuthis plei
Argonauta nodosa
Eledone massyae
Amphitretus thielei
Argonauta argo
Lolliguncula brevis
Ommastrephes bartramii
Doryteuthis sanpaulensis
Haliphron atlanticus
Argonauta hians
Histioteuthis machrohista
Illex argentinus
Bathyteuthis abyssicola
Eledone gaucha
Scaergus unicirrhus
Histioteuthis atlantica
Bolitaena pygmaea
Sepioteuthis sepioidea
Octopus tehuelchus
Euaxoctopus pillsburyae
Amphioctopus burryi
Opisthoteuthis agassizii
Leersia hexandra
Eclipta prostrata
Zannichellia palustris
Cyperus articulatus
Cyperus compressus
Brachiaria mutica
Nymphaea lotus
Arundo donax
Persicaria lapathifolia
Phragmites australis
Potamotrygon constellata
Potamotrygon ocellata
Clarias gariepinus
Carassius auratus
Hypophthalmichthys nobilis
Pomacea canaliculata
Hyporhamphus unifasciatus
Veronica peregrina
Fimbristylis cymosa
Cyperus brevifolius
Ischaemum rugosum
Eleocharis acutangula
Sacciolepis indica
Beckmannia syzigachne
Rhynchospora rugosa
Cyperus unioloides
Persicaria glabrum
Eriocaulon cinereum
Plantago major
Schoenoplectiella supina
Cyperus haspan
Fimbristylis dichotoma
Paspalum distichum
Brachiaria reptans
Ludwigia octovalvis
Azolla microphylla
Diplodus argenteus
Archosargus rhomboidalis
Calamus mu
Calamus bajonado
Calamus pennatula
Calamus penna
Archosargus probatocephalus
Calamus calamus
Vigna juruana
Vigna longifolia
Vigna luteola
Vigna marina
Ranacephala hogei
Limnoperna fortunei
Phrynops williamsi
Diospyros juruensis
Diospyros kanizur
Diospyros nanay
Diospyros inconstans
Diospyros tetrandra
Diospyros egleri
Lissocarpa kating
Diospyros hassleri
Diospyros matheriana
Diospyros vestita
Diospyros dalyom
Iguana iguana
Tremoctopus violaceus
Schoenoplectus tabernaemontani
Chiroteuthis veranyi
Pterygioteuthis giardi
Amphisbaena alba
Drymobius rhombifer
Oryza grandiglumis
Cyperus sesquiflorus
Eleocharis confervoides
Najas guadalupensis
Pteris vittata
Oryza latifolia
Chara fibrosa
Paspalum vaginatum
Siphlophis compressus
Acanthurus coeruleus
Acanthurus chirurgus
Acanthurus bahianus
Acanthurus monroviae
Enneanectes smithi
Enneanectes altivelis
Ribeiroclinus eigenmanni
Holothuria surinamensis
Isostichopus macroparentheses
Holothuria pseudofossor
Holothuria grisea
Holothuria arenicola
Holothuria parvula
Isostichopus badionotus
Gobionellus oceanicus
Myrophis plumbeus
Bathygobius soporator
Haemulon steindachneri
Oligoplites saurus
Gerres cinereus
