Hexanchus griseus
Lithoxus bovallii
Pseudotocinclus tietensis
Otothyris rostrata
Corydoras adolfoi
Harttia longipinna
Corydoras gracilis
Diapoma terofali
Hyphessobrycon megalopterus
Moenkhausia georgiae
Makunaima guaporensis
Glanidium catharinensis
Melanorivulus apiamici
Gymnotus jonasi
Cephalosilurus fowleri
Hypsolebias picturatus
Sternarchorhynchus mormyrus
Hemigrammus hyanuary
Bunocephalus knerii
Aspidoras maculosus
Osteoglossum ferreirai
Listrura camposae
Chaetobranchus semifasciatus
Apistogramma urteagai
Leporinus obtusidens
Hypostomus varimaculosus
Rineloricaria lima
Electrophorus electricus
Bivibranchia simulata
Characidium lanei
Steindachnerina amazonica
Crenicichla prenda
Auchenipterus nuchalis
Hypostomus luteus
Parotocinclus longirostris
Teleocichla centisquama
Characidium brevirostre
Auchenipterus britskii
Crenicichla lepidota
Leporinus crassilabris
Curimata vittata
Corydoras melini
Copionodon pecten
Parotocinclus haroldoi
Trichomycterus longibarbatus
Hemipsilichthys papillatus
Platyurosternarchus macrostomus
Charax macrolepis
Astyanax trierythropterus
Crenicichla cincta
Distocyclus conirostris
Pimelodella pappenheimi
Spatuloricaria euacanthagenys
Brycon orthotaenia
Phenacogaster beni
Semaprochilodus taeniurus
Cambeva stawiarski
Epactionotus gracilis
Tatia aulopygia
Glanapteryx niobium
Schizodon rostratus
Copella nigrofasciata
Ilisha amazonica
Austrolebias affinis
Leporinus nijsseni
Roeboides bonariensis
Bunocephalus coracoideus
Hypostomus unae
Brycon polylepis
Acestrorhynchus maculipinna
Amblydoras monitor
Centromochlus reticulatus
Cyphocharax corumbae
Deuterodon singularis
Apistogramma gephyra
Liosomadoras oncinus
Spatuloricaria evansii
Corydoras cervinus
Creagrutus britskii
Loricariichthys edentatus
Characidium stigmosum
Oligosarcus longirostris
Rhamphichthys atlanticus
Crenicichla macrophthalma
Eurycheilichthys limulus
Triportheus rotundatus
Acentronichthys leptos
Hyphessobrycon bentosi
Ancistrus dolichopterus
Apionichthys nattereri
Hemigrammus pulcher
Hypostomus macrops
Phaenomys ferrugineus
Phaenomys ferrugineus
Sagittaria guayanensis
Ceratopteris thalictroides
Neptunia oleracea
Pistia stratiotes
Nephropsis aculeata
Metanephrops rubellus
Panulirus echinatus
Scyllarides deceptor
Nephropsis neglecta
Panulirus argus
Nephropsis rosea
Scyllarides brasiliensis
Acanthacaris caeca
Nephropsis agassizii
Panulirus laevicauda
Palinurellus gundlachi
Justitia longimanus
Palinustus truncatus
Scyllarides delfosi
Parribacus antarcticus
Scyllarides aequinoctialis
Phocoena spinipinnis
Phocoena spinipinnis
Scomber japonicus
Tetrapturus pfluegeri
Katsuwonus pelamis
Katsuwonus pelamis
Makaira nigricans
Kajikia albida
Kajikia albida
Scomberomorus regalis
Acanthocybium solandri
Acanthocybium solandri
Tetrapturus georgii
Scomberomorus brasiliensis
Istiophorus platypterus
Scomberomorus cavalla
Gasterochisma melampus
Auxis thazard
Auxis thazard
Euthynnus alletteratus
Euthynnus alletteratus
Allothunnus fallai
Coryphaena equiselis
Coryphaena equiselis
Auxis rochei
Auxis rochei
Scomber colias
Scomber colias
Phrynomedusa fimbriata
Ranacephala hogei
Rhinemys rufipes
Mesoclemmys vanderhaegei
Phylloderma stenops
Phylloderma stenops
Boana tepuiana
Phyllostomus discolor
Phyllostomus discolor
Phyllostomus elongatus
Phyllostomus elongatus
Phyllostomus hastatus
Phyllostomus hastatus
Phyllostomus latifolius
Phyllostomus latifolius
Pimelodella kronei
Halodule emarginata
Halophila decipiens
Halodule wrightii
Diploglossus lessonae
Atractus poeppigi
Psomophis obtusus
Xenodon neuwiedii
Micrurus isozonus
Micrurus paraensis
Coleodactylus natalensis
Eunectes beniensis
Platyrrhinus lineatus
Platyrrhinus lineatus
Platyrrhinus brachycephalus
Platyrrhinus brachycephalus
Platyrrhinus infuscus
Platyrrhinus infuscus
Platyrrhinus recifinus
Platyrrhinus recifinus
Amphisbaena alba
Amphisbaena lumbricalis
Amphisbaena neglecta
Amphisbaena pretrei
Amphisbaena ridleyi
Amphisbaena slevini
Amphisbaena tragorrhectes
Amphisbaena absaberi
Leposternon polystegum
Leposternon scutigerum
Liotyphlops beui
Liotyphlops schubarti
Eunectes deschauenseei
Apostolepis goiasensis
Apostolepis polylepis
Atractus albuquerquei
Atractus major
Atractus snethlageae
Mussurana bicolor
Clelia hussami
Dipsas catesbyi
Dipsas pavonina
Drymobius rhombifer
Echinanthera undulata
Helicops trivittatus
Hydrops caesurus
Hydrops martii
Lygophis dilepis
Erythrolamprus jaegeri
Erythrolamprus longiventris
Erythrolamprus viridis
Xenodon histricus
Cyperus nutans
Oryza rufipogon
Fimbristylis ovata
Eragrostis unioloides
Nitella oligospira
Aniseia martinicensis
Fimbristylis dipsacea
Lipocarpha gracilis
Fuirena umbellata
Cyperus distans
Acrostichum aureum
Cyperus macrostachyos
Eragrostis japonica
Fimbristylis complanata
Commelina imberbis
Ludwigia hyssopifolia
Nitella flexilis
Cyperus squarrosus
Cyperus amabilis
Oxyrhopus melanogenys
Oxyrhopus occipitalis
Phalotris lemniscatus
Philodryas livida
Philodryas psammophidea
Siphlophis compressus
Rhachidelus brazili
Micrurus langsdorffi
Philodryas argentea
Siphlophis pulcher
Dibernardia affinis
Pseudoeryx plicatilis
Siphlophis leucocephalus
Xenopholis scalaris
Thamnodynastes pallidus
Siphlophis worontzowi
Pseudoboa haasi
Tropidodryas serra
Tantilla boipiranga
Dipsas ventrimaculata
Mesotes strigatus
Enyalius bibronii
Contomastix vacariensis
Panopa carvalhoi
Podocnemis erythrocephala
Podocnemis expansa
Gymnophthalmus underwoodi
Podocnemis sextuberculata
Podocnemis unifilis
Gymnophthalmus lineatus
Cnemidophorus gramivagus
Bothrops itapetiningae
Calyptommatus confusionibus
Podoxymys roraimae
Crocodilurus amazonicus
Coleodactylus septentrionalis
Bachia bresslaui
Salvator merianae
Cercosaura argulus
Anisolepis grilli
Homonota fasciata
Alopoglossus angulatus
Placosoma cordylinum
Crotalus durissus
Bothrops lutzi
Eurolophosaurus nanuzae
Neusticurus tatei
Amapasaurus tetradactylus
Enyalius pictus
Loxopholis parietalis
Bachia panoplia
Eurolophosaurus amathites
Tropidurus erythrocephalus
Amerotyphlops reticulatus
Tropidurus torquatus
Varzea bistriata
Psilops paeminosus
Tropidurus psammonastes
Bothrops erythromelas
Bachia flavescens
Loxopholis percarinatum
Bachia trisanale
Amerotyphlops amoipira
Cercosaura schreibersii
Kentropyx viridistriga
Arthrosaura kockii
Tropidurus semitaeniatus
Arthrosaura synaptolepis
Gonatodes hasemani
Bothrops jararacussu
Colobodactylus dalcyanus
Hemidactylus palaichthus
Liolaemus arambarensis
Laguncularia racemosa
Conocarpus erectus
Acrostichum danaeifolium
Avicennia germinans
Rhizophora racemosa
Avicennia schaueriana
Rhizophora mangle
Ponticyclops boscoi
Pontoporia blainvillei
Pontoporia blainvillei
Sotalia guianensis
Priodontes maximus
Priodontes maximus
Priodontes maximus
Priodontes maximus
Pristis pectinata
Pristis pectinata
Trinomys albispinus
Trinomys albispinus
Proechimys brevicauda
Proechimys brevicauda
Proechimys guyannensis
Proechimys guyannensis
Proechimys cuvieri
Proechimys cuvieri
Trinomys dimidiatus
Trinomys dimidiatus
Proechimys goeldii
Proechimys goeldii
Proechimys goeldii
Proechimys hoplomyoides
Proechimys hoplomyoides
Trinomys iheringi
Trinomys iheringi
Proechimys longicaudatus
Proechimys longicaudatus
Proechimys roberti
Proechimys roberti
Proechimys roberti
Proechimys quadruplicatus
Proechimys quadruplicatus
Trinomys setosus
Trinomys setosus
Proechimys simonsi
Proechimys simonsi
Proechimys steerei
Proechimys steerei
Promops centralis
Promops centralis
Promops nasutus
Promops nasutus
Enoplometopus antillensis
Pentacheles validus
Bathyarctus ramosae
Scyllarus americanus
Polycheles typhlops
Pentacheles laevis
Scyllarus chacei
Dactylopterus volitans
Sphaenorhynchus mirim
Pseudorca crassidens
Pseudorca crassidens
Pseudoryzomys simplex
Pseudoryzomys simplex
Pteronotus gymnonotus
Pteronotus gymnonotus
Pteronotus personatus
Pteronotus personatus
Pteronura brasiliensis
Pteronura brasiliensis
Pteronura brasiliensis
Pteronotus davyi
Halichoeres dimidiatus
Doratonotus megalepis
Halichoeres bivittatus
Bodianus pulchellus
Halichoeres poeyi
Decodon puellaris
Xyrichtys incandescens
Xyrichtys splendens
Bodianus rufus
Xyrichtys novacula
Xyrichtys novacula
Halichoeres bathyphilus
Clepticus brasiliensis
Halichoeres brasiliensis
Halichoeres radiatus
Halichoeres penrosei
Thalassoma noronhanum
Ptychodon schuppi
Puma concolor
Puma concolor
Castalia ambigua
Anisancylus dutrae
Gundlachia ticaga
Uncancylus concentricus
Ferrissia gentilis
Musculium argentinum
Diplodon parallelopipedon
Hydrobia semistriata
Pomacea bridgesii
Biomphalaria schrammi
Heleobia davisi
Eupera cubensis
Pisidium globulus
Rhipidodonta hylaea
Prisodon obliquus
Drepanotrema cimex
Anodontites elongatus
Felipponea neritiniformis
Lamproscapha ensiformis
Felipponea iheringi
Pomacea paludosa
Potamolithus lapidum
Anodontites trigonus
Anodontites tenebricosa
Eupera moquiniana
Melampus coffeus
Pisidium vile
Heleobia cuzcoensis
Chilina rushii
Pygoderma bilabiatum
Pygoderma bilabiatum
Pomacea pulchra
Asolene petiti
Marisa cornuarietis
Pisidium dorbignyi
Diplodon granosus
Chilina fluminea
Pomacea megastoma
Castalia schombergiana
Prisodon syrmatophorus
Pomacea crosseana
Pomacea lineata
Lymnaea diaphana
Physa marmorata
Lestidiops jayakari
Tylosurus acus
Remora osteochir
Trichiurus lepturus
Sudis hyalina
Cyclothone microdon
Pseudocaranx dentex
Exocoetus obtusirostris
Lophotus lacepede
Nemichthys scolopaceus
Pomatomus saltatrix
Ichthyococcus ovatus
Hirundichthys speculiger
Chauliodus sloani
Regalecus glesne
Mola mola
Lobianchia gemellarii
Nettastoma melanurum
Ruvettus pretiosus
Naucrates ductor
Caranx hippos
Lagocephalus lagocephalus
Symbolophorus veranyi
Gonostoma denudatum
Boana stellae
Scinax tigrinus
Gastrotheca flamma
Radioconus goeldi
Radioconus riochcoensis
Radiodiscus amdenus
Radiodiscus compactus
Radiodiscus coppingers
Radiodiscus iheringi
Sparisoma radians
Sparisoma amplum
Sparisoma frondosum
Nicholsina usta
Scarus trispinosus
Scarus taeniopterus
Sparisoma axillare
Cryptotomus roseus
Scarus zelindae
Sparisoma tuiupiranga
Sotalia fluviatilis
Acmella paniculata
Xyris capensis
Rhagomys rufescens
Rhagomys rufescens
Meridiorhantus orbignyi
Rhincodon typus
Rhincodon typus
Gnetum schwackeanum
Gnetum camporum
Gnetum paniculatum
Gnetum leyboldii
Gnetum nodiflorum
Gnetum venosum
Gnetum urens
Chlopsis bicolor
Ariosoma balearicum
Chlorophthalmus agassizi
Arctozenus risso
Bathysaurus mollis
Brama brama
Lampris guttatus
Epinephelus itajara
Ololygon belloni
Hyalinobatrachium munozorum
Hyalinobatrachium munozorum
Rhinophylla fischerae
Rhinophylla fischerae
Rhinophylla pumilio
Rhinophylla pumilio
Nemamyxine kreffti
Rhipidomys leucodactylus
Rhipidomys leucodactylus
Eptatretus menezesi
Eptatretus multidens
Rhipidomys macconnelli
Rhipidomys macconnelli
Myxine australis
Rhipidomys mastacalis
Rhipidomys mastacalis
Myxine sotoi
Rhipidomys wetzeli
Rhynchonycteris naso
Rhynchonycteris naso
Saccopteryx gymnura
Saccopteryx gymnura
Saccopteryx bilineata
Saccopteryx bilineata
Saccopteryx canescens
Saccopteryx canescens
Saccopteryx leptura
Saccopteryx leptura
Tamarinus imperator
Tamarinus imperator
Tamarinus imperator
Leontocebus cruzlimai
Leontocebus cruzlimai
Leontocebus cruzlimai
Saimiri vanzolinii
Saimiri vanzolinii
Saimiri vanzolinii
Priacanthus arenatus
Kyphosus sectatrix
Stomias boa
Sphyraena sphyraena
Exocoetus volitans
Guttigadus latifrons
Cheilopogon exsiliens
Hoplostethus mediterraneus
Sardinella aurita
Hymenocephalus italicus
Nezumia aequalis
Diaphus metopoclampus
Diogenichthys atlanticus
Electrona risso
Hygophum hygomii
Lampanyctus pusillus
Lobianchia dofleini
Scartella cristata
Seriola dumerili
Remora australis
Remora remora
Lobotes surinamensis
Cubiceps capensis
Tetragonurus cuvieri
Cyclothone braueri
Vinciguerria attenuata
Vinciguerria poweriae
Bathophilus nigerrimus
Gonichthys coccoi
Parablennius pilicornis
Mobula birostris
Arapaima gigas
Scapteromys tumidus
Scapteromys tumidus
Scarus guacamaia
Sciurillus pusillus
Sciurillus pusillus
Sciurus gilvigularis
Sciurus gilvigularis
Sciurus aestuans
Sciurus aestuans
Sciurus ignitus
Sciurus ignitus
Sciurus igniventris
Sciurus igniventris
Sciurus spadiceus
Sciurus spadiceus
Scleronycteris ega
Scleronycteris ega
Scolomys ucayalensis
Arawacus aethesa
Castelnavia fluitans
Castelnavia monandra
Castelnavia multipartita
Castelnavia noveloi
Ephedra tweediana
Castelnavia princeps
Ceratolacis pedunculatum
Cipoia inserta
Diamantina lombardii
Devillea flagelliformis
Podostemum ovatum
Podostemum saldanhanum
Podostemum scaturiginum
Sigmodon alstoni
Sigmodon alstoni
Speothos venaticus
Speothos venaticus
Speothos venaticus
Speothos venaticus
Arctocephalus australis
Arctocephalus australis
Arctocephalus gazella
Arctocephalus gazella
Sphaeronycteris toxophyllum
Sphaeronycteris toxophyllum
Arctocephalus tropicalis
Arctocephalus tropicalis
Coendou spinosus
Coendou spinosus
Coendou insidiosus
Coendou insidiosus
Stenella attenuata
Stenella attenuata
Stenella clymene
Stenella clymene
Stenella coeruleoalba
Stenella coeruleoalba
Stenella frontalis
Stenella frontalis
Stenella longirostris
Stenella longirostris
Steno bredanensis
Steno bredanensis
Sturnira bidens
Sturnira magna
Sturnira tildae
Sturnira tildae
Stygichthys typhlops
Argyrodiaptomus neglectus
Dermanura anderseni
Dermanura anderseni
Dermanura cinerea
Dermanura cinerea
Artibeus concolor
Artibeus concolor
Artibeus fimbriatus
Artibeus fimbriatus
Dermanura gnoma
Artibeus planirostris
Artibeus planirostris
Tadarida brasiliensis
Tadarida brasiliensis
Tamandua tetradactyla
Tamandua tetradactyla
Tamandua tetradactyla
Tamandua tetradactyla
Artibeus lituratus
Artibeus lituratus
Artibeus obscurus
Artibeus obscurus
Tapirus terrestris
Tapirus terrestris
Thalpomys cerradensis
Thalpomys cerradensis
Thalpomys lasiotis
Thalpomys lasiotis
Thoropa lutzi
Thoropa petropolitana
Thrichomys apereoides
Thrichomys apereoides
Thunnus alalunga
Thunnus alalunga
Thunnus alalunga
Thunnus albacares
Thunnus albacares
Thunnus maccoyii
Thunnus maccoyii
Thunnus obesus
Thunnus obesus
Thunnus thynnus
Thunnus thynnus
Thunnus thynnus
Thylamys macrurus
Thylamys macrurus
Thylamys macrurus
Thyroptera discifera
Thyroptera discifera
Thyroptera tricolor
Thyroptera tricolor
Tolypeutes matacus
Tolypeutes matacus
Tolypeutes matacus
Tolypeutes matacus
Tolypeutes tricinctus
Tolypeutes tricinctus
Tolypeutes tricinctus
Tolypeutes tricinctus
Tonatia bidens
Tonatia bidens
Lophostoma brasiliense
Lophostoma brasiliense
Lophostoma schulzi
Lophostoma schulzi
Trachops cirrhosus
Trachops cirrhosus
Trichechus inunguis
Trichechus inunguis
Trichechus manatus
Trichechus manatus
Trochogyra leptotera
Tropocyclops federensis
Tropocyclops nananae
Tursiops truncatus
Tursiops truncatus
Ateles belzebuth
Ateles belzebuth
Ateles belzebuth
Uroderma bilobatum
Uroderma bilobatum
Uroderma magnirostrum
Uroderma magnirostrum
Ateles marginatus
Ateles marginatus
Ateles marginatus
Ateles paniscus
Ateles paniscus
Ateles paniscus
Vampyriscus bidens
Vampyriscus bidens
Vampyriscus brocki
Vampyriscus brocki
Vampyressa pusilla
Vampyressa pusilla
Vampyrum spectrum
Vampyrum spectrum
Wiedomys pyrrhorhinos
Wiedomys pyrrhorhinos
Wilfredomys oenax
Wilfredomys oenax
Juliomys pictipes
Juliomys pictipes
Xiphias gladius
Xiphias gladius
Xiphias gladius
Zilchogyra paulistana
Ziphius cavirostris
Ziphius cavirostris
Zygodontomys brevicauda
Zygodontomys brevicauda
Attheyella yemanjae
Balaenoptera acutorostrata
Balaenoptera acutorostrata
Balaenoptera borealis
Balaenoptera edeni
Balaenoptera edeni
Balaenoptera musculus
Balaenoptera physalus
Balaenoptera physalus
Balaenoptera bonaerensis
Balistes vetula
Melanophryniscus moreirae
Berardius arnuxii
Berardius arnuxii
Bibimys labiosus
Bibimys labiosus
Blarinomys breviceps
Blarinomys breviceps
Blastocerus dichotomus
Blastocerus dichotomus
Blastocerus dichotomus
Necromys lasiurus
Necromys lasiurus
Bothrops insularis
Bothrops insularis
Stenocercus fimbriatus
Tupinambis quadrilineatus
Euryoryzomys emmonsae
Euryoryzomys emmonsae
Potamites juruazensis
Hylaeamys megacephalus
Hylaeamys megacephalus
Amphisbaena crisae
Hylaeamys laticeps
Hylaeamys laticeps
Euryoryzomys russatus
Euryoryzomys russatus
Osteocephalus oophagus
Osteocephalus oophagus
Oligoryzomys stramineus
Oligoryzomys stramineus
Ischnocnema paranaensis
Xenohyla eugenioi
Physalaemus maximus
Physalaemus maximus
Gymnophthalmus vanzoi
Gymnophthalmus vanzoi
Proechimys echinothrix
Proechimys echinothrix
Proechimys kulinae
Proechimys kulinae
Proechimys pattoni
Proechimys pattoni
Proechimys gardneri
Proechimys gardneri
Brachycephalus hermogenesi
Brachycephalus hermogenesi
Drymaeus acervatus
Tomigerus gibberulus
Tomigerus turbinatus
Mazama americana
Mazama americana
Mazama gouazoubira
Mazama gouazoubira
Mazama nana
Mazama nana
Brachyteles arachnoides
Brachyteles arachnoides
Brachyteles arachnoides
Brachyteles hypoxanthus
Brachyteles hypoxanthus
Brachyteles hypoxanthus
Bradypus torquatus
Bradypus torquatus
Bradypus torquatus
Bradypus torquatus
Bradypus tridactylus
Bradypus tridactylus
Bradypus tridactylus
Bradypus tridactylus
Bradypus variegatus
Bradypus variegatus
Bradypus variegatus
Bradypus variegatus
Couratari guianensis
Zanthoxylum flavum
Schinopsis balansae
Myracrodruon urundeuva
Aspidosperma polyneuron
Tabebuia impetiginosa
Libidibia paraguariensis
Amburana cearensis
Cedrela odorata
Swietenia macrophylla
Maclura brasiliensis
Mezilaurus ita-uba
Ocotea aciphylla
Mespilodaphne cymbarum
Ocotea puberula
Ludwigia anastomosans
Terminalia hoehneana
Terminalia kleinii
Minquartia guianensis
Araucaria angustifolia
Zeyheria tuberculosa
Pterogyne nitens
Ocotea porosa
Mimosa verrucosa
Machaerium villosum
Joannesia princeps
Ilex paraguariensis
Esenbeckia leiocarpa
Dipteryx alata
Dalbergia nigra
Bertholletia excelsa
Balfourodendron riedelianum
Cedrela lilloi
Protium breviacuminatum
Couratari asterophora
Couratari asterotricha
Couratari atrovinosa
Couratari prancei
Eschweilera rabeliana
Eschweilera alvimii
Eschweilera rodriguesiana
Eschweilera tetrapetala
Annona calcarata
Eschweilera amazonicaformis
Eschweilera carinata
Rollinia ferruginea
Eschweilera punctata
Eschweilera rhododendrifolia
Eschweilera rionegrense
Eschweilera roraimensis
Eschweilera subcordata
Lecythis schwackei
Lecythis barnebyi
Lecythis schomburgkii
Gustavia santanderiensis
Allantoma kuhlmannii
Cariniana penduliflora
Cariniana ianeirensis
Allantoma pachyantha
Allantoma uaupensis
Annona helosioides
Annona pickelii
Annona ubatubensis
Pterocarpus santalinoides
Virola surinamensis
Aniba rosodora
Helicostylis tomentosa
Cariniana estrellensis
Plathymenia foliolosa
Paubrasilia echinata
Couepia schottii
Mollinedia gilgiana
Mollinedia glabra
Mollinedia lamprophylla
Mollinedia longicuspidata
Mollinedia stenophylla
Ocotea basicordatifolia
Ocotea catharinensis
Ocotea langsdorffii
Vouacapoua americana
Ocotea pretiosa
Trichilia tuberculata
Cedrela fissilis
Neltuma affinis
Cariniana pyriformis
Micropholis williamii
Mimosa caesalpiniifolia
Couroupita guianensis
Podocarpus lambertii
Podocarpus sellowii
Podocarpus transiens
Retrophyllum piresii
Cacajao calvus
Cacajao calvus
Cabassous chacoensis
Cabassous chacoensis
Cabassous chacoensis
Cabassous tatouay
Cabassous tatouay
Cabassous tatouay
Cabassous tatouay
Cabassous unicinctus
Cabassous unicinctus
Cabassous unicinctus
Cabassous unicinctus
Cacajao calvus
Cacajao calvus
Cacajao ucayalii
Cacajao ucayalii
Cacajao novaesi
Cacajao novaesi
Cacajao rubicundus
Cacajao rubicundus
Annona bahiensis
Coussapoa floccosa
Coussapoa curranii
Ficus albert-smithii
Ficus amazonica
Ficus greiffiana
Ficus hebetifolia
Ficus hirsuta
Pouteria macrocarpa
Ficus krukovii
Ficus lauretana
Ficus malacocarpa
Ficus mathewsii
Ficus matiziana
Ficus mexiae
Ficus monckii
Persea pyrifolia
Ficus pakkensis
Ficus pallida
Ficus panurensis
Ficus ramiflora
Ficus roraimensis
Lecythis lurida
Ficus salzmanniana
Ficus schippii
Ficus schultesii
Ficus schumacheri
Ficus sphenophylla
Ficus trigonata
Amburana acreana
Ficus ursina
Ficus velutina
Ficus aripuanensis
Ficus blepharophylla
Ficus broadwayi
Ficus calyptroceras
Ficus castellviana
Ficus catappifolia
Ficus cyclophylla
Ficus dendrocida
Ficus elliotana
Caecorhamdella brasiliensis
Schinus engleri
Pseudobombax argentinum
Myrocarpus frondosus
Poecilanthe parviflora
Campomanesia reitziana
Cariniana legalis
Manilkara subsericea
Aiouea acarodomatifera
Aiouea benthamiana
Aiouea bracteata
Aiouea impressa
Aiouea lehmannii
Aiouea macedoana
Aiouea piauhyensis
Aniba ferrea
Aniba intermedia
Aniba pedicellata
Aniba permollis
Aniba santalodora
Asteranthos brasiliensis
Banara brasiliensis
Brosimum glaziovii
Chrysophyllum inornatum
Chrysophyllum januariense
Chrysophyllum ovale
Chrysophyllum paranaense
Tabernaemontana cumata
Tabernaemontana muricata
Chrysophyllum splendens
Tabernaemontana salzmannii
Chrysophyllum subspinosum
Chrysophyllum superbum
Campomanesia hirsuta
Campomanesia laurifolia
Campomanesia lundiana
Campomanesia neriiflora
Campomanesia phaea
Campomanesia prosthecesepala
Campomanesia rufa
Campomanesia viatoris
Allantoma integrifolia
Allantoma pauciramosa
Caryocar coriaceum
Chromolucuma baehniana
Chromolucuma rubriflora
Chrysophyllum acreanum
Chrysophyllum arenarium
Chrysophyllum bombycinum
Chrysophyllum durifructum
Chrysophyllum flexuosum
Chrysophyllum imperiale
Cyrtocarpa caatingae
Plecturocebus dubius
Plecturocebus dubius
Plecturocebus dubius
Couratari longipedicellata
Couratari pyramidata
Couratari tauari
Solanum latiflorum
Solanum paralum
Solanum ovum-fringillae
Solanum pinetorum
Solanum sycocarpum
Gustavia longepetiolata
Ecclinusa bullata
Ecclinusa lancifolia
Heisteria maguirei
Lacistema lucidum
Lacistema robustum
Lafoensia pacari
Eschweilera atropetiolata
Lecythis brancoensis
Lecythis lanceolata
Eschweilera compressa
Lecythis ollaria
Eschweilera cyathiformis
Lecythis parvifructa
Lecythis prancei
Lecythis retusa
Eschweilera obversa
Lecythis serrata
Guarea convergens
Guarea crispa
Guarea cristata
Guarea guentheri
Guarea humaitensis
Guarea juglandiformis
Callicebus personatus
Callicebus personatus
Callicebus personatus
Guarea sprucei
Guarea trunciflora
Guarea velutina
Guarea venenata
Gustavia acuminata
Gustavia erythrocarpa
Helicostylis heterotricha
Myrceugenia pilotantha
Myrceugenia rufescens
Myrceugenia scutellata
Myrciaria cuspidata
Manilkara bella
Manilkara cavalcantei
Manilkara dardanoi
Manilkara decrescens
Manilkara elata
Manilkara excelsa
Nectandra debilis
Manilkara longifolia
Manilkara maxima
Manilkara multifida
Nectandra grisea
Manilkara paraensis
Manilkara rufula
Nectandra impressa
Nectandra matogrossensis
Micropholis casiquiarensis
Nectandra micranthera
Micropholis caudata
Micropholis cayennensis
Micropholis compta
Micropholis crassipedicellata
Micropholis cylindrocarpa
Micropholis emarginata
Micropholis gnaphaloclados
Micropholis grandiflora
Micropholis humboldtiana
Callimico goeldii
Callimico goeldii
Callimico goeldii
Micropholis madeirensis
Micropholis maguirei
Micropholis resinifera
Micropholis retusa
Micropholis sanctae-rosae
Micropholis splendens
Micropholis submarginalis
Mouriri francavillana
Solanum inaequale
Myrceugenia bracteosa
Myrceugenia brevipedicellata
Myrceugenia franciscensis
Myrceugenia kleinii
Nectandra barbellata
Callithrix aurita
Callithrix aurita
Callithrix aurita
Nectandra paranaensis
Nectandra psammophila
Callithrix flaviceps
Callithrix flaviceps
Callithrix flaviceps
Nectandra spicata
Nectandra venulosa
Nectandra weddellii
Callithrix geoffroyi
Callithrix geoffroyi
Callithrix geoffroyi
Perebea glabrifolia
Callithrix kuhlii
Callithrix kuhlii
Callithrix kuhlii
Pouteria amapaensis
Pouteria microstrigosa
Pouteria andarahiensis
Pouteria minima
Pouteria nudipetala
Pouteria atabapoensis
Pouteria petiolata
Pouteria bapeba
Pouteria beaurepairei
Pouteria platyphylla
Pouteria polysepala
Pouteria psammophila
Pouteria brachyandra
Pouteria pubescens
Pouteria putamen-ovi
Pouteria brevensis
Pouteria bullata
Pouteria butyrocarpa
Pouteria retinervis
Pouteria rodriguesiana
Pouteria cicatricata
Pouteria sagotiana
Pouteria scrobiculata
Pouteria coelomatica
Pouteria crassiflora
Pouteria decussata
Pouteria ephedrantha
Pouteria exstaminodia
Pouteria franciscana
Pouteria fulva
Pouteria furcata
Pouteria gabrielensis
Pouteria grandiflora
Pouteria juruana
Pouteria krukovii
Pouteria latianthera
Pouteria lucens
Pouteria macahensis
Pouteria maguirei
Pouteria oppositifolia
Pouteria oxypetala
Pouteria pachycalyx
Pouteria pachyphylla
Pouteria pallens
Pouteria peduncularis
Pouteria singularis
Pouteria stenophylla
Pouteria subsessilifolia
Pouteria tarumanensis
Pouteria tenuisepala
Pouteria vernicosa
Rinorea bicornuta
Pouteria virescens
Pouteria williamii
Pradosia atroviolacea
Pradosia decipiens
Rinorea longistipulata
Pradosia glaziovii
Rinorea maximiliani
Pradosia granulosa
Pradosia huberi
Pradosia kuhlmannii
Rinorea ramiziana
Rinorea villosiflora
Pradosia subverticillata
Pradosia verrucosa
Pradosia verticillata
Pseudolmedia hirtula
Annona mammifera
Rollinia parviflora
Annona xylopiifolia
Thyrsodium bolivianum
Trichilia areolata
Trichilia blanchetii
Trichilia bullata
Trichilia casaretti
Trichilia discolor
Trichilia elsae
Trichilia emarginata
Trichilia fasciculata
Trichilia florbranca
Sarcaulus inflexus
Trichilia hispida
Sarcaulus vestitus
Trichilia lecointei
Trichilia magnifoliola
Trichilia micropetala
Trichilia pallens
Trichilia pseudostipularis
Trichilia ramalhoi
Trichilia silvatica
Trichilia solitudinis
Calomys callosus
Calomys callosus
Trichilia stellato-tomentosa
Trichilia surumuensis
Trichilia tetrapetala
Calomys hummelincki
Calomys hummelincki
Dicypellium caryophyllaceum
Urbanodendron macrophyllum
Urbanodendron bahiense
Urbanodendron verrucosum
Phyllostemonodaphne geminiflora
Calomys laucha
Calomys laucha
Nectandra warmingii
Calomys tener
Calomys tener
Loreya subrotundifolia
Mouriri subumbellata
Ficus pulchella
Naucleopsis oblongifolia
Sorocea guilleminiana
Solanum diploconos
Solanum melissarum
Caluromys lanatus
Caluromys lanatus
Cratylia bahiensis
Verbesina pseudoclausseni
Caluromys philander
Caluromys philander
Stephanopodium magnifolium
Persea glabra
Abarema cochliocarpos
Abarema levelii
Macrosamanea macrocalyx
Macrosamanea consanguinea
Macrosamanea prancei
Albizia edwarllii
Caluromysiops irrupta
Caluromysiops irrupta
Pseudalbizzia burkartiana
Pseudalbizzia glabripetala
Pseudalbizzia decandra
